3028,8117,4837,5667,5002,3973,3402,5725,5193,1050,999999,7033,3263,1679,1612,11230,9122,7441,7970,7205,9042,11341,7841,9805,11398,11247,12326,12991,11706,16444,9422,9897,3426,2371,11741,12371,12315,13185,14365,14228,16312,17360,18971,23488,21469,14189,14370,11544,11616,13320,11402,9489,12177,11325,9591,19920,20240,16757,12039,15687,9902,15507,15430,14732,14876,13132,4496,4689,2550,3997,6250,9432,10412,9327,9082,4734,2062,3312,16043,17458,13904
7444,6259,4353,3318,5145,6597,4072,3663,5121,5756,6694,999999,6092,6199,4944,5766,3657,3064,2342,5507,8966,4312,6350,7375,6685,6774,7613,10597,11127,8072,7564,13666,8131,7878,5560,6622,15585,16455,13786,11833,13917,12441,14053,18232,19075,17459,13821,9149,9221,10926,10823,8910,15946,15094,13360,17525,14985,11396,6574,7962,6110,10043,10174,8333,9412,6516,10502,10196,7255,9008,11261,5640,5896,2909,2380,4063,5042,8018,8998,10413,8986
5182,4913,2294,3394,1798,4518,3947,6198,5738,3205,2801,5233,999999,1364,2393,8681,8903,7222,7750,8896,10733,8606,9532,11496,13088,12938,14016,14682,13397,15451,6218,11588,5580,3985,13432,11867,14006,14876,16056,15919,18003,19051,20662,24965,23160,15880,16061,13235,13307,15011,13093,11180,13867,13016,11281,21610,21717,11984,9499,14695,6698,12967,16907,15066,12336,11761,4613,6233,4704,3119,5372,6228,12102,6123,7389,5279,2607,5467,14172,15587,15595
3897,6964,3939,5444,3849,3233,2662,4985,4453,1920,1437,6293,2055,999999,1108,10490,8382,6701,7230,7610,9447,10601,8246,10211,11803,11653,12731,13397,12111,12796,8269,10303,4295,2621,12147,11347,12721,13591,14771,14634,16718,17766,19377,23894,21875,14595,14776,11950,12022,13726,11808,9895,12582,11730,9996,20325,20646,14034,11299,16093,8749,14767,15836,15138,14136,11241,4746,4939,3419,4247,6500,8279,10817,8174,8342,3994,1322,4182,16449,17864,14310
3284,7205,3301,4131,4090,2437,1866,4189,3657,1192,2130,5497,2297,1635,999999,9694,7586,5905,6434,6814,8651,9805,7450,9415,11007,10857,11935,12601,11315,12000,8510,9507,3567,3315,11351,10551,11925,12795,13975,13838,15922,16969,18581,23098,21079,13799,13980,11154,11226,12930,11012,9099,11786,10934,9200,19529,19850,15221,10503,15297,8990,13971,15040,14342,13340,10445,5439,5633,2692,4940,7193,8520,10021,8415,7546,3198,526,3454,15653,17068,13514
9078,6510,7664,7581,7913,8230,7899,5297,6754,11026,12427,4657,8861,11069,9815,999999,2438,4546,3975,7141,10600,1478,7983,6557,9680,4247,8538,12348,17491,6817,8335,15300,13765,13611,3833,4095,21949,22819,20151,14470,16554,12844,14455,16330,21711,23823,14224,10783,13241,15635,17188,10543,17580,16728,14993,20161,13082,5582,864,6060,3827,4333,8272,6431,3701,3989,13270,15235,12988,11777,14030,3969,5160,3536,2245,6518,9368,12022,5537,6953,7454
7258,8633,7350,6316,8107,6411,6079,3477,4935,9206,10607,4174,9911,9250,7995,2178,999999,2726,2156,5321,8780,2289,6163,5496,4889,3186,4315,8125,10941,4484,10458,13480,11945,11791,2773,3035,15399,16269,13600,10480,12564,8854,10465,14645,17721,17272,10234,8963,9035,10740,10637,8724,15760,14908,13174,16171,11397,7705,2987,4375,5950,6455,6587,4746,5824,2929,13916,13416,11168,13417,15670,6091,4100,4287,2579,4698,7548,10202,5410,6826,5398
5024,8095,6223,5189,6980,4177,3846,2350,2145,6973,8373,4355,7678,7016,5761,5283,3175,999999,2022,2531,5990,5394,3374,4378,4920,4636,5848,7599,8129,7589,9400,11076,9541,9558,3796,6140,12587,13458,10789,8836,10920,10882,12494,17011,16077,14461,8978,6152,6224,7928,7826,5912,11803,10951,9217,14527,13763,10810,6092,7479,9054,9560,8953,7850,8929,6033,11682,11011,9284,11183,13436,9196,4132,6266,3134,3571,5315,7798,8515,9930,7427
5248,7212,5340,4306,6097,4401,4069,1467,2925,7196,8597,3226,7901,7240,5985,4664,2555,1960,999999,3311,6770,4775,4154,5179,5580,5672,6801,8401,8931,6970,8517,11471,9936,9781,4456,5520,13389,14259,11590,9637,11722,11339,12951,17131,16879,15263,9780,6953,7026,8730,8628,6714,13750,12898,11164,15329,13883,10191,5472,6860,8435,8941,9072,7231,8310,5414,11906,11406,9158,11407,13660,8577,4792,4336,1205,2688,5538,8192,7896,9311,7884
2738,9499,6569,6593,7238,3005,3957,4579,2259,4686,6087,8168,7873,6579,5653,8296,6187,3101,5035,999999,3469,8407,1298,3263,4855,4705,5783,6449,6133,9901,10804,8555,7020,7271,5198,5828,10591,11461,8793,7686,9770,10817,12429,16946,14927,12465,7828,5002,5074,6778,5830,3916,9282,8430,6696,13377,13698,13823,9104,9145,12067,11773,8888,8190,11707,6590,9396,8490,6763,8897,11150,12209,3869,9278,6147,4216,5178,5277,9501,10916,7362
